Feature,Coefficient,AbsCoefficient,p-value,Rank_LR,Significant,OddsRatio,SHAP_Importance,Rank_IF,LR_Normalized,IF_Normalized
contact_unknown,-0.7031262900340313,0.7031262900340313,1.705899522393939e-116,1,True,0.49503525831345674,0.1975634109259142,9.0,1.0,0.6946584511231058
campaign,-0.2999978936881922,0.2999978936881922,2.3963935873806023e-24,2,True,0.7408197810775269,0.09936358886201285,23.0,0.4266628882183773,0.3493752026927834
month_aug,-0.2904403950287463,0.2904403950287463,4.1080748699775786e-29,3,True,0.7479341085745902,0.18872684614204022,11.0,0.413070026175083,0.6635879488613444
housing_yes,-0.2840516780079218,0.2840516780079218,3.294336920211562e-43,4,True,0.752727744230726,0.1002264064458644,22.0,0.4039838675270892,0.3524089806762221
month_jul,-0.2620858422603334,0.2620858422603334,1.0653995551295356e-23,5,True,0.7694449699770907,0.21057356883540482,8.0,0.3727436251141291,0.7404038454748101
month_nov,-0.2390918831980054,0.2390918831980054,9.07000760441836e-26,6,True,0.7873425354989204,0.1679137588412444,13.0,0.3400411655585135,0.5904064476931827
month_may,-0.1852712952827682,0.1852712952827682,5.999866224568928e-09,7,True,0.8308788397627699,0.15737272700618155,14.0,0.26349646985010483,0.5533428192942481
month_jan,-0.18246644093214665,0.18246644093214665,1.0508592726266901e-19,8,True,0.8332126052975065,0.0838681658626408,27.0,0.25950735098145067,0.29489129552700954
education_tertiary,0.1664887218372079,0.1664887218372079,3.8694145357843724e-07,9,True,1.181150214590852,0.19571980204804412,10.0,0.23678352551594942,0.688176084365132
loan_yes,-0.16165193655569837,0.16165193655569837,3.050306296356214e-14,10,True,0.8507372635557328,0.2424102693323758,2.0,0.22990455462542075,0.8523457933914179
month_mar,0.115395035181728,0.115395035181728,4.975375827667603e-21,11,True,1.1223167045964957,0.0,999.0,0.1641170822614852,0.0
month_oct,0.10596836698886175,0.10596836698886175,4.622715676278812e-16,12,True,1.1117867067889926,0.041591166652467725,31.0,0.1507102898737194,0.14623990986894075
month_sep,0.10547320538310469,0.10547320538310469,1.1150612402588686e-16,13,True,1.1112363289722267,0.0,999.0,0.1500060613264792,0.0
marital_married,-0.1023722521748839,0.1023722521748839,0.00018258795728313273,14,True,0.9026934595136826,0.2203360472499524,6.0,0.1455958248552036,0.7747299795640593
month_jun,0.10063162348237907,0.10063162348237907,0.0005035211586735827,15,True,1.1058691904789557,0.22171858023846844,5.0,0.143120268590026,0.7795911439868041
education_secondary,0.09610087268265906,0.09610087268265906,0.0019095849932112767,16,True,1.1008701061141895,0.03976217187545804,32.0,0.1366765459417081,0.1398089281757453
job_retired,0.08641461966745716,0.08641461966745716,2.005058059077122e-05,17,True,1.0902582771295244,0.09351147684667235,25.0,0.12290056692841722,0.32879842155034905
month_feb,-0.07032271739808367,0.07032271739808367,0.0004306585331949756,18,True,0.9320929687459617,0.21915530675189437,7.0,0.10001434791277689,0.7705783435818941
job_housemaid,-0.06926109549615977,0.06926109549615977,0.001403224512568157,19,True,0.9330830244956596,0.07674940318912198,28.0,0.09850448842242486,0.26986080719152533
month_dec,0.0669034865409931,0.0669034865409931,6.0869504412333505e-09,20,True,1.0691922817493031,0.0,999.0,0.09515145072694547,0.0
job_blue-collar,-0.06220280242583781,0.06220280242583781,0.03143193306756821,21,True,0.9396922955884766,0.23172984566879376,3.0,0.08846604558453816,0.8147920453329545
balance,0.05857211996182577,0.05857211996182577,6.985550260396313e-05,22,True,1.0603214532798781,0.11856012617417955,19.0,0.08330241777617345,0.41687270546265215
contact_telephone,-0.05793212906020135,0.05793212906020135,0.0007334028319363422,23,True,0.9437139960190661,0.13847448306867702,16.0,0.08239221016383477,0.4868941545286027
job_student,0.05384719937054327,0.05384719937054327,0.0004129643369345659,24,True,1.0553233357646057,0.10775477918147044,20.0,0.07658254304207153,0.37887971085588384
marital_single,0.04667083132644026,0.04667083132644026,0.1052724889234193,25,False,1.0477770569250344,0.12654768613663236,17.0,0.06637617166068616,0.4449579971964091
job_entrepreneur,-0.044595058361086896,0.044595058361086896,0.038174033526898514,26,True,0.9563846834119202,0.1265021256391392,18.0,0.06342396663752752,0.44479780060700697
default_yes,-0.04006128739214987,0.04006128739214987,0.07800006548120088,27,False,0.9607305566775876,0.055675129040711334,30.0,0.056975948645315064,0.19576093935735236
education_unknown,0.03834303271000923,0.03834303271000923,0.056911429579228935,28,False,1.039087612789772,0.15301742705305926,15.0,0.05453221313649562,0.5380290225470002
job_self-employed,-0.032403580860809904,0.032403580860809904,0.10253687220101088,29,False,0.9681157902224632,0.10231535263939094,21.0,0.04608500822695959,0.3597539851002387
job_technician,-0.03193153599727649,0.03193153599727649,0.2016025579075621,30,False,0.9685728921863725,0.22636041354536643,4.0,0.04541365676389515,0.7959124289870442
job_services,-0.03154342445037416,0.03154342445037416,0.17629771119562898,31,False,0.9689488794676298,0.18745194404132196,12.0,0.044861676909915375,0.6591052285313607
day,0.030656168580829257,0.030656168580829257,0.12605445706645138,32,False,1.0311309077260113,0.09589381050978227,24.0,0.04359980421062837,0.33717501418315676
age,0.03033496969784381,0.03033496969784381,0.17854227809967493,33,False,1.0307997628147727,0.09261886771727018,26.0,0.043142988859619515,0.3256598926477408
job_management,-0.029356799766574612,0.029356799766574612,0.3083827623604686,34,False,0.9710699251250908,0.2844036671640557,1.0,0.04175181639866395,1.0
job_unemployed,0.012973678377951945,0.012973678377951945,0.45878881430731944,35,False,1.0130582016737715,0.06057938473538732,29.0,0.018451419839989228,0.21300493534228113
job_unknown,-0.012588722133341402,0.012588722133341402,0.4806533011951635,36,False,0.9874901843713831,0.0,999.0,0.017903927518813312,0.0
