Feature,Selected
age,True
balance,True
day,True
campaign,True
job_blue-collar,True
job_entrepreneur,True
job_housemaid,True
job_management,True
job_retired,True
job_self-employed,True
job_services,True
job_student,True
job_technician,True
job_unemployed,True
marital_married,True
marital_single,True
education_secondary,True
education_tertiary,True
education_unknown,True
default_yes,True
housing_yes,True
loan_yes,True
contact_telephone,True
contact_unknown,True
month_aug,True
month_feb,True
month_jan,True
month_jul,True
month_jun,True
month_may,True
month_nov,True
month_oct,True
