Feature,Coefficient,StdErr,z-value,p-value,OddsRatio
Intercept,-2.3578069845898684,0.021614864497001004,-109.08266322543946,0.0,0.09462751541523734
contact_unknown,-0.7031262900340313,0.030645818497274702,-22.943629001018834,1.705899522393939e-116,0.49503525831345674
housing_yes,-0.2840516780079218,0.020611110889609492,-13.781483178139535,3.294336920211562e-43,0.752727744230726
month_aug,-0.2904403950287463,0.025933718902667408,-11.19933458517101,4.1080748699775786e-29,0.7479341085745902
month_nov,-0.2390918831980054,0.022780652145487277,-10.495392391361728,9.07000760441836e-26,0.7873425354989204
campaign,-0.2999978936881922,0.0294647692746288,-10.181579597384157,2.3963935873806023e-24,0.7408197810775269
month_jul,-0.2620858422603334,0.026116164936025622,-10.035387772375502,1.0653995551295356e-23,0.7694449699770907
month_mar,0.115395035181728,0.01226340798276856,9.409703676487869,4.975375827667603e-21,1.1223167045964957
month_jan,-0.18246644093214665,0.02008755995774014,-9.083554265227653,1.0508592726266901e-19,0.8332126052975065
month_sep,0.10547320538310469,0.012720114552904836,8.291843988073067,1.1150612402588686e-16,1.1112363289722267
month_oct,0.10596836698886175,0.013048648053042969,8.12102269584547,4.622715676278812e-16,1.1117867067889926
loan_yes,-0.16165193655569837,0.021280724172317945,-7.596167087489245,3.050306296356214e-14,0.8507372635557328
month_may,-0.1852712952827682,0.03185127949267496,-5.8167614687308316,5.999866224568928e-09,0.8308788397627699
month_dec,0.0669034865409931,0.011506612571995558,5.814351193488582,6.0869504412333505e-09,1.0691922817493031
education_tertiary,0.1664887218372079,0.03280389931811859,5.075272309022456,3.8694145357843724e-07,1.181150214590852
job_retired,0.08641461966745716,0.02026453969651849,4.264326797529156,2.005058059077122e-05,1.0902582771295244
balance,0.05857211996182577,0.014728538771587932,3.9767773891334177,6.985550260396313e-05,1.0603214532798781
marital_married,-0.1023722521748839,0.027357896214907848,-3.7419636133826426,0.00018258795728313273,0.9026934595136826
job_student,0.05384719937054327,0.015247006282073993,3.531657190556272,0.0004129643369345659,1.0553233357646057
month_feb,-0.07032271739808367,0.019974943696523008,-3.5205464639344433,0.0004306585331949756,0.9320929687459617
month_jun,0.10063162348237907,0.028926474516079156,3.4788761909593124,0.0005035211586735827,1.1058691904789557
contact_telephone,-0.05793212906020135,0.017156038478925995,-3.376777752705765,0.0007334028319363422,0.9437139960190661
job_housemaid,-0.06926109549615977,0.02168483972246881,-3.193986968895817,0.001403224512568157,0.9330830244956596
education_secondary,0.09610087268265906,0.030960876245525005,3.10394550595283,0.0019095849932112767,1.1008701061141895
job_blue-collar,-0.06220280242583781,0.02891054330956046,-2.1515611712931,0.03143193306756821,0.9396922955884766
job_entrepreneur,-0.044595058361086896,0.021512524742484593,-2.0729811537656078,0.038174033526898514,0.9563846834119202
education_unknown,0.03834303271000923,0.02013824857198059,1.9039904375476784,0.056911429579228935,1.039087612789772
default_yes,-0.04006128739214987,0.02273097034031999,-1.762409910019966,0.07800006548120088,0.9607305566775876
job_self-employed,-0.032403580860809904,0.019846897938580826,-1.632677356486016,0.10253687220101088,0.9681157902224632
marital_single,0.04667083132644026,0.02881248400980683,1.6198128321929839,0.1052724889234193,1.0477770569250344
day,0.030656168580829257,0.020038707547722894,1.5298475965987577,0.12605445706645138,1.0311309077260113
job_services,-0.03154342445037416,0.023326749067178645,-1.3522426275316948,0.17629771119562898,0.9689488794676298
age,0.03033496969784381,0.022549573308466523,1.3452569271656312,0.17854227809967493,1.0307997628147727
job_technician,-0.03193153599727649,0.025005135473244466,-1.2769991200984807,0.2016025579075621,0.9685728921863725
job_management,-0.029356799766574612,0.02882012991598113,-1.0186213543158211,0.3083827623604686,0.9710699251250908
job_unemployed,0.012973678377951945,0.01751205508334854,0.7408427118464274,0.45878881430731944,1.0130582016737715
job_unknown,-0.012588722133341402,0.01784995796546253,-0.705252200464507,0.4806533011951635,0.9874901843713831
