Feature,Importance
age,0.27471400061169315
contact_unknown,0.1989856595369478
month_jun,0.15347497051404108
month_oct,0.14962195260939182
month_sep,0.1414755317626022
day,0.04000708223765151
month_aug,0.008624486362186035
campaign,0.005991686100644031
balance,0.005242990126053751
marital_married,0.004532212810700454
month_nov,0.003692027680021996
month_jul,0.0036876329403567843
job_blue-collar,0.003230359245129225
job_self-employed,0.002724013252341111
contact_telephone,0.002687808079484968
month_feb,0.0013075861307539393
month_jan,0.0
month_dec,0.0
loan_yes,0.0
month_mar,0.0
month_may,0.0
job_entrepreneur,0.0
default_yes,0.0
housing_yes,0.0
job_housemaid,0.0
education_unknown,0.0
education_secondary,0.0
marital_single,0.0
job_unknown,0.0
job_unemployed,0.0
job_technician,0.0
job_student,0.0
job_services,0.0
job_retired,0.0
job_management,0.0
education_tertiary,0.0
