feature,coefficient,abs_coefficient,odds_ratio,strength,direction,interpretation,odds_ratio_interp
duration,1.5781907215437518,1.5781907215437518,4.846179785813009,Very Strong,increases,Increases subscription probability (very strong effect),4.85x more likely
poutcome_success,0.4497476916709516,0.4497476916709516,1.5679165371780026,Moderate,increases,Increases subscription probability (moderate effect),1.57x more likely
contact_unknown,-0.41362863484861845,0.41362863484861845,0.6612464695698921,Moderate,decreases,Decreases subscription probability (moderate effect),1.51x less likely
housing_yes,-0.392886516764969,0.392886516764969,0.6751053563789728,Moderate,decreases,Decreases subscription probability (moderate effect),1.48x less likely
age,0.36891742201343125,0.36891742201343125,1.4461681770875003,Moderate,increases,Increases subscription probability (moderate effect),1.45x more likely
age_group,-0.3605080390228621,0.3605080390228621,0.6973219692932172,Moderate,decreases,Decreases subscription probability (moderate effect),1.43x less likely
month_contact_may_unknown,-0.33051037492696594,0.33051037492696594,0.7185569064016039,Moderate,decreases,Decreases subscription probability (moderate effect),1.39x less likely
month_may,-0.29829970509688697,0.29829970509688697,0.7420789015874162,Moderate,decreases,Decreases subscription probability (moderate effect),1.35x less likely
balance_log,0.24396404596530627,0.24396404596530627,1.2762984415860656,Moderate,increases,Increases subscription probability (moderate effect),1.28x more likely
month_contact_jun_unknown,-0.23169063292051703,0.23169063292051703,0.7931914726825915,Moderate,decreases,Decreases subscription probability (moderate effect),1.26x less likely
month_contact_jun_cellular,0.21247957108457124,0.21247957108457124,1.2367408480330202,Moderate,increases,Increases subscription probability (moderate effect),1.24x more likely
loan_yes,-0.20710577323768964,0.20710577323768964,0.8129336588147491,Moderate,decreases,Decreases subscription probability (moderate effect),1.23x less likely
month_contact_jul_cellular,-0.19342315773565213,0.19342315773565213,0.8241331620203236,Moderate,decreases,Decreases subscription probability (moderate effect),1.21x less likely
month_jul,-0.1874615841413928,0.1874615841413928,0.829060966657525,Moderate,decreases,Decreases subscription probability (moderate effect),1.21x less likely
month_contact_nov_cellular,-0.1694185710590768,0.1694185710590768,0.8441554903693345,Moderate,decreases,Decreases subscription probability (moderate effect),1.18x less likely
education_ord,0.16930117701160666,0.16930117701160666,1.1844768223985291,Moderate,increases,Increases subscription probability (moderate effect),1.18x more likely
