Feature,Importance
age,0.2747140006116938
contact_unknown,0.1989856595369476
month_jun,0.1534749705140409
month_oct,0.14962195260939168
month_sep,0.14147553176260205
day,0.04000708223765151
month_aug,0.008624486362186053
campaign,0.005991686100644048
balance,0.0052429901260537684
marital_married,0.004532212810700454
month_nov,0.003692027680021976
month_jul,0.003687632940356788
job_blue-collar,0.0032303592451292306
job_self-employed,0.0027240132523411163
contact_telephone,0.0026878080794849727
month_feb,0.0013075861307539492
month_jan,0.0
month_dec,0.0
loan_yes,0.0
month_mar,0.0
month_may,0.0
job_entrepreneur,0.0
default_yes,0.0
housing_yes,0.0
job_housemaid,0.0
education_unknown,0.0
education_secondary,0.0
marital_single,0.0
job_unknown,0.0
job_unemployed,0.0
job_technician,0.0
job_student,0.0
job_services,0.0
job_retired,0.0
job_management,0.0
education_tertiary,0.0
