iter	Logloss
0	0.6763006904
1	0.6597482918
2	0.6440757989
3	0.6283652684
4	0.6151878603
5	0.6030311275
6	0.5905936107
7	0.5798997654
8	0.5690828128
9	0.5601899058
10	0.5526020388
11	0.5448629713
12	0.5365580508
13	0.529291305
14	0.5233691132
15	0.5185305241
16	0.5115658955
17	0.5057056251
18	0.5008496185
19	0.4949287192
20	0.4899652388
21	0.4854988553
22	0.4798920738
23	0.4765526302
24	0.4723638852
25	0.4684792052
26	0.464882608
27	0.4614284993
28	0.4577917313
29	0.4537271585
30	0.4495276817
31	0.447159418
32	0.4444157353
33	0.4417289678
34	0.4385741313
35	0.4353135761
36	0.4330347721
37	0.4308628152
38	0.4286162148
39	0.4267280765
40	0.4243990577
41	0.4224797671
42	0.4207057278
43	0.419061365
44	0.4169336301
45	0.4150899203
46	0.4134558085
47	0.4110111988
48	0.4093825326
49	0.407871753
50	0.4065387231
51	0.4056826519
52	0.4041611132
53	0.4027769126
54	0.4014355845
55	0.3998819254
56	0.3985795258
57	0.3973453137
58	0.3958600404
59	0.3945626204
60	0.3934818354
61	0.3925612607
62	0.3917266633
63	0.3905554133
64	0.3897429717
65	0.3888670515
66	0.3877881698
67	0.3870754557
68	0.386308739
69	0.385626161
70	0.3844434948
71	0.3835718012
72	0.3827714217
73	0.3819672362
74	0.3813215234
75	0.3803267677
76	0.3791380531
77	0.3781388713
78	0.3773532316
79	0.3765191706
80	0.3756758119
81	0.3750404019
82	0.3740132855
83	0.3733052551
84	0.3725851355
85	0.3717934089
86	0.3712443923
87	0.3704974024
88	0.3697086004
89	0.3690497737
90	0.3685321478
91	0.3679346411
92	0.3665193912
93	0.3656538907
94	0.3651745486
95	0.3646354769
96	0.3640139466
97	0.3635048594
98	0.3626640777
99	0.3621917556
100	0.3615522914
101	0.3611236603
102	0.3604069621
103	0.3592283003
104	0.358573713
105	0.3581149399
106	0.3577635463
107	0.35721718
108	0.3568008216
109	0.3564931218
110	0.3556740163
111	0.3551154579
112	0.3546751361
113	0.35429023
114	0.3539411415
115	0.3533892992
116	0.3531554026
117	0.3525460371
118	0.3515593061
119	0.3510604392
120	0.3506241502
121	0.3503312991
122	0.3500165429
123	0.3497368356
124	0.3487147744
125	0.34806541
126	0.3477816737
127	0.3475341472
128	0.34721434
129	0.3464988163
130	0.3460300765
131	0.3457783516
132	0.3455219399
133	0.3448758842
134	0.3444461793
135	0.3441334685
136	0.343923098
137	0.3435719791
138	0.3430752426
139	0.3429833736
140	0.3426748523
141	0.3426289116
142	0.3423858074
143	0.3420719564
144	0.3418247623
145	0.3410769761
146	0.3408164901
147	0.3404096653
148	0.3398376272
149	0.3394163098
150	0.3391538128
151	0.3387779198
152	0.3384507994
153	0.3381365348
154	0.3379033108
155	0.3377114464
156	0.3374306055
157	0.3369294237
158	0.336723649
159	0.3361385879
160	0.3359004963
161	0.3356006046
162	0.3350523283
163	0.3347582092
164	0.3343249574
165	0.333900297
166	0.3336681998
167	0.3328302793
168	0.3325352577
169	0.3321767818
170	0.3317718563
171	0.3313609886
172	0.3307778037
173	0.3302109007
174	0.3298640017
175	0.3295023063
176	0.3292786449
177	0.3289482687
178	0.3287678628
179	0.3285744825
180	0.3280755624
181	0.3277631877
182	0.3275661206
183	0.32700563
184	0.3267416996
185	0.3265333279
186	0.3263136305
187	0.3259843252
188	0.3257716607
189	0.3254882387
190	0.3251674563
191	0.3250063989
192	0.3246905124
193	0.3245218303
194	0.3243774727
195	0.3241012519
196	0.3239662719
197	0.3239183296
198	0.3236082671
199	0.3233968463
200	0.3231494113
201	0.3229076759
202	0.3227270621
203	0.3224677236
204	0.3222057691
205	0.3218530634
206	0.3216366665
207	0.3215356411
208	0.3213771904
209	0.3212364261
210	0.3206290342
211	0.3203754643
212	0.3201483675
213	0.3199961473
214	0.3197791365
215	0.3195069895
216	0.3193784536
217	0.3192987077
218	0.3190113452
219	0.3186260164
220	0.3182859475
221	0.3181329935
222	0.3178590346
223	0.3177230257
224	0.3175418824
225	0.3174065523
226	0.3172707165
227	0.3170618784
228	0.3169269823
229	0.3166846517
230	0.3163933228
231	0.3162612113
232	0.3161304399
233	0.315891107
234	0.3156455812
235	0.3153017187
236	0.3150581721
237	0.314709287
238	0.314604808
239	0.3145090595
240	0.3143164928
241	0.3140500983
242	0.3138628376
243	0.3137278654
244	0.3135444927
245	0.3132777507
246	0.3131891094
247	0.3130127403
248	0.3127606979
249	0.3125431656
250	0.3123489866
251	0.3120294429
252	0.3117939783
253	0.3116101115
254	0.311368056
255	0.3112445148
256	0.3109239393
257	0.3105551564
258	0.3103665165
259	0.3100790533
260	0.3098211786
261	0.3097683011
262	0.3096538015
263	0.3093960981
264	0.3092761942
265	0.3090426377
266	0.3089092683
267	0.3088102339
268	0.3086577991
269	0.3085333917
270	0.3083705977
271	0.3082288686
272	0.307990958
273	0.307881077
274	0.3076610991
275	0.3073804148
276	0.3070622219
277	0.3068530272
278	0.3066672128
279	0.3064239463
280	0.3060081035
281	0.3058632226
282	0.3057667273
283	0.3056726343
284	0.3054251326
285	0.305320188
286	0.3051883503
287	0.3051241863
288	0.3048445008
289	0.3047896191
290	0.3047463743
291	0.3045693705
292	0.3043802945
293	0.3042005056
294	0.3039665135
295	0.3038647291
296	0.3036475272
297	0.3034638944
298	0.3033619627
299	0.303264394
300	0.303143608
301	0.3029021433
302	0.3027854486
303	0.3026974846
304	0.3025848677
305	0.3024689873
306	0.3022923407
307	0.3020967313
308	0.3019508117
309	0.3016999946
310	0.3014737971
311	0.3013798326
312	0.3012975276
313	0.3012180752
314	0.3010976252
315	0.3010262009
316	0.3008614461
317	0.300683012
318	0.3003745129
319	0.3002508402
320	0.3001274644
321	0.2999632016
322	0.2996954738
323	0.2995734148
324	0.2992783869
325	0.2991115328
326	0.2989429572
327	0.2988253502
328	0.2986844435
329	0.2983797544
330	0.2982635206
331	0.2981328358
332	0.2979363682
333	0.2977924086
334	0.2976193075
335	0.2974432549
336	0.2973453668
337	0.2971362314
338	0.2968649593
339	0.2966652954
340	0.2965914915
