iter	Passed	Remaining
0	8	6427
1	15	6082
2	23	6187
3	30	6153
4	38	6121
5	46	6161
6	54	6228
7	62	6224
8	70	6207
9	78	6235
10	86	6230
11	94	6227
12	103	6241
13	110	6201
14	118	6194
15	126	6184
16	133	6164
17	142	6193
18	150	6169
19	157	6133
20	165	6121
21	172	6112
22	180	6107
23	188	6083
24	196	6103
25	205	6113
26	214	6152
27	224	6177
28	233	6219
29	243	6255
30	252	6274
31	262	6297
32	272	6323
33	283	6387
34	291	6372
35	299	6362
36	307	6345
37	315	6322
38	323	6308
39	330	6282
40	338	6266
41	346	6246
42	354	6237
43	362	6223
44	370	6218
45	378	6199
46	386	6191
47	394	6179
48	403	6183
49	412	6184
50	422	6198
51	430	6199
52	439	6192
53	446	6172
54	454	6157
55	461	6136
56	469	6117
57	476	6101
58	484	6081
59	492	6072
60	500	6063
61	508	6051
62	516	6038
63	524	6033
64	532	6023
65	540	6008
66	547	5988
67	556	5985
68	564	5976
69	572	5969
70	579	5954
71	587	5943
72	595	5934
73	603	5923
74	611	5912
75	619	5901
76	627	5891
77	635	5881
78	642	5867
79	651	5864
80	659	5851
81	667	5844
82	674	5830
83	683	5825
84	691	5817
85	699	5808
86	706	5793
87	715	5787
88	723	5778
89	731	5773
90	740	5766
91	747	5753
92	756	5750
93	764	5742
94	772	5735
95	781	5731
96	789	5720
97	798	5717
98	806	5708
99	814	5700
100	824	5702
101	832	5694
102	840	5687
103	848	5677
104	855	5665
105	863	5651
106	871	5641
107	878	5629
108	886	5617
109	894	5611
110	902	5599
111	909	5587
112	918	5582
113	927	5578
114	935	5569
115	944	5567
116	952	5558
117	960	5549
118	968	5540
119	976	5533
120	984	5525
121	992	5512
122	999	5504
123	1007	5490
124	1014	5477
125	1021	5465
126	1029	5455
127	1036	5443
128	1043	5430
129	1051	5418
130	1059	5410
131	1066	5399
132	1074	5388
133	1081	5376
134	1089	5369
135	1098	5365
136	1106	5356
137	1114	5346
138	1122	5336
139	1127	5316
140	1136	5313
141	1141	5291
142	1150	5285
143	1158	5278
144	1167	5274
145	1175	5266
146	1184	5261
147	1191	5249
148	1200	5243
149	1209	5241
150	1217	5233
151	1227	5230
152	1236	5230
153	1245	5222
154	1252	5212
155	1260	5202
156	1267	5192
157	1275	5181
158	1282	5170
159	1290	5161
160	1298	5152
161	1305	5142
162	1313	5133
163	1321	5124
164	1329	5116
165	1337	5109
166	1347	5106
167	1355	5097
168	1363	5089
169	1371	5082
170	1379	5073
171	1388	5068
172	1396	5062
173	1405	5057
174	1413	5048
175	1421	5039
176	1429	5030
177	1437	5022
178	1445	5014
179	1452	5003
180	1461	4997
181	1468	4987
182	1476	4976
183	1483	4965
184	1490	4956
185	1498	4946
186	1506	4938
187	1514	4930
188	1521	4919
189	1530	4914
190	1539	4908
191	1548	4902
192	1556	4894
193	1563	4883
194	1571	4876
195	1579	4868
196	1587	4859
197	1592	4842
198	1600	4832
199	1608	4824
200	1615	4814
201	1623	4806
202	1630	4795
203	1639	4788
204	1647	4780
205	1657	4780
206	1667	4775
207	1676	4770
208	1684	4763
209	1693	4757
210	1700	4747
211	1710	4743
212	1719	4739
213	1729	4736
214	1739	4732
215	1751	4734
216	1758	4723
217	1765	4713
218	1773	4704
219	1780	4693
220	1788	4685
221	1795	4675
222	1803	4666
223	1811	4659
224	1821	4654
225	1831	4651
226	1842	4649
227	1851	4644
228	1865	4650
229	1875	4648
230	1884	4642
231	1895	4639
232	1904	4634
233	1913	4629
234	1921	4620
235	1929	4611
236	1937	4602
237	1945	4594
238	1953	4585
239	1961	4577
240	1970	4570
241	1977	4559
242	1985	4551
243	1992	4541
244	2001	4532
245	2008	4523
246	2017	4516
247	2025	4507
248	2032	4498
249	2040	4489
250	2049	4482
251	2056	4472
252	2065	4464
253	2073	4456
254	2080	4446
255	2087	4436
256	2096	4429
257	2103	4419
258	2111	4410
259	2118	4400
260	2126	4391
261	2134	4383
262	2142	4374
263	2150	4366
264	2157	4356
265	2165	4347
266	2173	4339
267	2181	4331
268	2191	4326
269	2199	4318
